"ID","BP_NAME","BPID"
230,"Acknowledgements","uxackn"
111,"Action Items","uai"
241,"Activities","uxact2"
170,"Activity Calendar","uxac"
236,"Activity Log","uxactpk"
254,"Alden Test Business Process","uxaptest"
53,"All Projects","us_xap"
33,"All Properties","us_apr"
38,"All Properties Single Record","uapro"
112,"Annual Budget","uab"
234,"Architect's Supplemental Instruction","uxasi"
147,"Architect's Supplemental Instructions","uasi"
4,"Architect/Engineer Daily Observations","uado"
69,"Areas","uxa"
144,"Asset Templates","uatt"
110,"Assets","uat"
145,"Assets Creator","uatc"
138,"Blanket Purchase Orders","ubpo"
114,"Budget Change Orders","uxbco"
108,"Budget Changes","ubc"
139,"Budget Changes-FM","ubcfm"
32,"Budget Items","uxbi"
243,"Budget Management","uxbm"
74,"Budget Tranfers-FM","ubtfm"
106,"Budget Transfers","ubt"
136,"Building Common Area","usp_bca"
107,"Building Information","ubi"
17,"Buildings","us_bld"
174,"Business Process Change","uxbpc"
190,"C2HERPS Commitment","uxc2comm"
191,"C2HERPS Commitment Changes","uxc2cc"
192,"C2HERPS Invoices","uxc2inv"
103,"CAM Reconciliation","ucr"
154,"CPP Creations","uxcpp"
158,"CPP Data Load","uxcppdl"
83,"CPP Information","upi"
153,"CPPs","us_xcpp"
209,"CPPs (L2)","us_xcpp2"
31,"Capital Planning","uxcp"
105,"Carbon Footprint","ucf"
62,"Certificate of Insurance","uxcoi"
163,"Change Orders","uxco"
52,"Change Quote Decision","uxcqro"
27,"Common Area","usp_ca"
223,"Contact Logs","uxcnv"
159,"Contacts","uxcont"
182,"Contacts Log","uxcont2"
239,"Contractor's Proposed Cost","uxcpc"
162,"Contracts","uxc1"
137,"Corrective Work Orders","ucwof"
157,"Correspondence","uxcor"
260,"DBE Only Test","uxdbet"
125,"Daily Reports","udr1"
3,"Deeds","uxdeds"
160,"Default Values","uxdv"
126,"Design Change Requests","udcr"
101,"Design Reviews","udr"
155,"Distribution Lists","uxdl"
214,"Document Transfers","uxtdoc2"
13,"Drawing Revisions","uxdrwrev"
2,"Drawing Sets","uxdrwset"
56,"Drawings","uxdrw"
30,"Easements","uxem"
100,"Emissions","uem"
104,"Employees","ue1"
115,"Energy Meter","uemr"
249,"Engineer's Supplemental Instructions","uxdc"
58,"Estimates","ue"
210,"Executive Decision Document","uxedd"
97,"Facility Inspections","ufi"
10,"Facility Requests for Bid","ufrfb"
193,"Field Change Notice","uxfcn"
177,"Field Reports","uxfr2"
